Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
10/19/2018,9:05 PM,Calgary Flames,Nashville Predators,113,-125,44.65%,55.35%,Nashville Predators -125,1.65%,-125,113,55.56%,46.95%,Nashville Predators,-0.21%,Calgary Flames,-2.30%,,,,,,,,,,,,,,,,,,
10/20/2018,1:05 PM,Carolina Hurricanes,Colorado Avalanche,-141,128,54.61%,45.39%,Colorado Avalanche 128,2.79%,128,-141,43.86%,58.51%,Colorado Avalanche,1.53%,Carolina Hurricanes,-3.90%,,,,,,,,,,,,,,,,,,
10/20/2018,3:35 PM,Los Angeles Kings,Buffalo Sabres,-172,155,59.49%,40.51%,Buffalo Sabres 155,2.01%,155,-172,39.22%,63.24%,Buffalo Sabres,1.29%,Los Angeles Kings,-3.75%,,,,,,,,,,,,,,,,,,
10/20/2018,7:05 PM,Columbus Blue Jackets,Chicago Blackhawks,-147,133,52.60%,47.40%,Chicago Blackhawks 133,4.50%,133,-147,42.92%,59.51%,Chicago Blackhawks,4.48%,Columbus Blue Jackets,-6.91%,112,W,5.96,,,,,,,,,,,,,,,
10/20/2018,10:05 PM,Edmonton Oilers,Nashville Predators,112,-124,43.34%,56.66%,Nashville Predators -124,0.36%,-124,112,55.36%,47.17%,Nashville Predators,1.30%,Edmonton Oilers,-3.83%,,,,,,,,,,,,,,,,,,
10/20/2018,10:05 PM,Vancouver Canucks,Boston Bruins,137,-152,35.76%,64.24%,Boston Bruins -152,3.64%,-152,137,60.32%,42.19%,Boston Bruins,3.92%,Vancouver Canucks,-6.43%,98,L,-5.96,,,,,,,,,,,,,,,
10/20/2018,10:35 PM,San Jose Sharks,New York Islanders,-235,210,71.47%,28.53%,San Jose Sharks -235,2.67%,210,-235,32.26%,70.15%,New York Islanders,-3.73%,San Jose Sharks,1.32%,,,,,,,,,,,,,,,,,,
10/21/2018,7:05 PM,New York Rangers,Calgary Flames,113,-125,42.98%,57.02%,Calgary Flames -125,0.52%,-125,113,55.56%,46.95%,Calgary Flames,1.46%,New York Rangers,-3.97%,,,,,,,,,,,,,,,,,,
10/21/2018,7:05 PM,Chicago Blackhawks,Tampa Bay Lightning,120,-133,37.33%,62.67%,Tampa Bay Lightning -133,4.17%,-133,120,57.08%,45.45%,Tampa Bay Lightning,5.59%,Chicago Blackhawks,-8.12%,140,W,5.59,,,,,,,,,,,,,,,
10/21/2018,8:05 PM,Anaheim Ducks,Buffalo Sabres,-155,140,59.87%,40.13%,Anaheim Ducks -155,0.57%,140,-155,41.67%,60.78%,Buffalo Sabres,-1.54%,Anaheim Ducks,-0.91%,,,,,,,,,,,,,,,,,,
